
printing unique entries in spam set

printing unique entries in normal set
109110
89512

printing unique entries in spam set
a [43, 0.00039409769956924204]
e [228, 0.002089634313995051]
ea [9, 8.248556502612044e-05]
eac [1, 9.165062780680048e-06]
each [354, 0.003244432224360737]
eaddress [1, 9.165062780680048e-06]
eaeohgon [1, 9.165062780680048e-06]
eaffbed [1, 9.165062780680048e-06]
eager [1, 9.165062780680048e-06]
eagle [4, 3.666025112272019e-05]
eaglecomp [2, 1.8330125561360096e-05]
eal [1, 9.165062780680048e-06]
ear [2, 1.8330125561360096e-05]
earl [1, 9.165062780680048e-06]
earle [1, 9.165062780680048e-06]
earlier [5, 4.582531390340024e-05]
earliest [1, 9.165062780680048e-06]
early [4, 3.666025112272019e-05]
earn [121, 0.0011089725964622858]
earning [7, 6.415543946476033e-05]
earnings [11, 0.00010081569058748053]
earnmoney [2, 1.8330125561360096e-05]
earth [23, 0.0002107964439556411]
earthmall [1, 9.165062780680048e-06]
ease [12, 0.00010998075336816057]
easier [20, 0.00018330125561360095]
easiest [17, 0.0001558060672715608]
easily [56, 0.0005132435157180826]
east [3, 2.7495188342040142e-05]
easter [2, 1.8330125561360096e-05]
eastern [3, 2.7495188342040142e-05]
easy [185, 0.0016955366144258087]
easyto [4, 3.666025112272019e-05]
eat [15, 0.00013747594171020073]
eatcbthiuyfgbxwhpmjcmnezbslhav [1, 9.165062780680048e-06]
eate [1, 9.165062780680048e-06]
eb [1, 9.165062780680048e-06]
eberra [2, 1.8330125561360096e-05]
ebicom [1, 9.165062780680048e-06]
ebklfhoviokvqyieugeqxyongszirlpblyhau [1, 9.165062780680048e-06]
eccs [1, 9.165062780680048e-06]
eclectic [3, 2.7495188342040142e-05]
eco [1, 9.165062780680048e-06]
ecommerce [2, 1.8330125561360096e-05]
economic [4, 3.666025112272019e-05]
economical [1, 9.165062780680048e-06]
economy [28, 0.0002566217578590413]
ecverify [2, 1.8330125561360096e-05]
ed [10, 9.165062780680047e-05]
edele [1, 9.165062780680048e-06]
edge [12, 0.00010998075336816057]
edication [1, 9.165062780680048e-06]
edit [7, 6.415543946476033e-05]
editable [1, 9.165062780680048e-06]
edition [7, 6.415543946476033e-05]
editor [1, 9.165062780680048e-06]
editorial [6, 5.4990376684080284e-05]
edo [1, 9.165062780680048e-06]
edsponsor [1, 9.165062780680048e-06]
edt [7, 6.415543946476033e-05]
edu [9, 8.248556502612044e-05]
educate [1, 9.165062780680048e-06]
education [13, 0.00011914581614884062]
educational [3, 2.7495188342040142e-05]
educator [1, 9.165062780680048e-06]
edward [4, 3.666025112272019e-05]
ee [2, 1.8330125561360096e-05]
eepp [10, 9.165062780680047e-05]
eeugjwtrccmrictjmsgalkochxyipkehwbkpwuaqjdnmmetzpjrnqlbnomjt [1, 9.165062780680048e-06]
effect [5, 4.582531390340024e-05]
effective [52, 0.0004765832645953625]
effectively [9, 8.248556502612044e-05]
effectiveness [1, 9.165062780680048e-06]
efficient [2, 1.8330125561360096e-05]
efficiently [1, 9.165062780680048e-06]
effort [57, 0.0005224085784987627]
effortless [1, 9.165062780680048e-06]
effortlessly [2, 1.8330125561360096e-05]
efforts [3, 2.7495188342040142e-05]
efiler [2, 1.8330125561360096e-05]
eg [1, 9.165062780680048e-06]
egg [1, 9.165062780680048e-06]
egift [4, 3.666025112272019e-05]
ego [3, 2.7495188342040142e-05]
eight [1, 9.165062780680048e-06]
eighty [5, 4.582531390340024e-05]
einhorn [1, 9.165062780680048e-06]
eiqajxcakkagselvaehmckscjrcakvkaixcalaamjadkpgeipedkpeguujepawoytrwn [1, 9.165062780680048e-06]
either [39, 0.00035743744844652183]
ejka [1, 9.165062780680048e-06]
ekel [4, 3.666025112272019e-05]
el [3, 2.7495188342040142e-05]
elbow [1, 9.165062780680048e-06]
eldatapronet [1, 9.165062780680048e-06]
electric [7, 6.415543946476033e-05]
electrical [2, 1.8330125561360096e-05]
electricity [2, 1.8330125561360096e-05]
electronic [51, 0.0004674182018146824]
electronically [3, 2.7495188342040142e-05]
electronics [2, 1.8330125561360096e-05]
element [8, 7.332050224544038e-05]
eleven [4, 3.666025112272019e-05]
elhezdfdhaa [1, 9.165062780680048e-06]
elia [1, 9.165062780680048e-06]
eligible [3, 2.7495188342040142e-05]
eliminate [31, 0.00028411694620108146]
elimination [3, 2.7495188342040142e-05]
elite [3, 2.7495188342040142e-05]
elizabeth [1, 9.165062780680048e-06]
ellbee [1, 9.165062780680048e-06]
elmomachine [1, 9.165062780680048e-06]
eloan [5, 4.582531390340024e-05]
eloe [1, 9.165062780680048e-06]
elonex [2, 1.8330125561360096e-05]
elphick [2, 1.8330125561360096e-05]
else [57, 0.0005224085784987627]
elusive [2, 1.8330125561360096e-05]
em [1, 9.165062780680048e-06]
ema [1, 9.165062780680048e-06]
email [1380, 0.012647786637338466]
emailamendtext [6, 5.4990376684080284e-05]
emailed [3, 2.7495188342040142e-05]
emailer [13, 0.00011914581614884062]
emailing [6, 5.4990376684080284e-05]
emailings [1, 9.165062780680048e-06]
emailonly [1, 9.165062780680048e-06]
emailsecret [1, 9.165062780680048e-06]
emaus [1, 9.165062780680048e-06]
embark [8, 7.332050224544038e-05]
embarrase [1, 9.165062780680048e-06]
embarrass [1, 9.165062780680048e-06]
embarrassment [1, 9.165062780680048e-06]
embed [3, 2.7495188342040142e-05]
emcosoft [1, 9.165062780680048e-06]
emcu [2, 1.8330125561360096e-05]
emerge [1, 9.165062780680048e-06]
emergency [1, 9.165062780680048e-06]
emi [2, 1.8330125561360096e-05]
emile [2, 1.8330125561360096e-05]
emin [4, 3.666025112272019e-05]
eminent [6, 5.4990376684080284e-05]
emission [1, 9.165062780680048e-06]
emma [1, 9.165062780680048e-06]
emotion [2, 1.8330125561360096e-05]
emotionally [1, 9.165062780680048e-06]
empire [2, 1.8330125561360096e-05]
employ [4, 3.666025112272019e-05]
employe [1, 9.165062780680048e-06]
employee [9, 8.248556502612044e-05]
employees [2, 1.8330125561360096e-05]
employer [4, 3.666025112272019e-05]
employment [27, 0.0002474566950783613]
emporium [2, 1.8330125561360096e-05]
empower [4, 3.666025112272019e-05]
empty [4, 3.666025112272019e-05]
ems [35, 0.0003207771973238017]
emulate [3, 2.7495188342040142e-05]
en [3, 2.7495188342040142e-05]
enable [10, 9.165062780680047e-05]
enclose [58, 0.0005315736412794428]
encode [5, 4.582531390340024e-05]
encompass [2, 1.8330125561360096e-05]
encounter [1, 9.165062780680048e-06]
encourage [9, 8.248556502612044e-05]
encouragement [4, 3.666025112272019e-05]
encrypt [1, 9.165062780680048e-06]
encryption [2, 1.8330125561360096e-05]
end [58, 0.0005315736412794428]
endeavors [1, 9.165062780680048e-06]
ending [1, 9.165062780680048e-06]
endless [7, 6.415543946476033e-05]
endorse [4, 3.666025112272019e-05]
endorsement [2, 1.8330125561360096e-05]
endurance [1, 9.165062780680048e-06]
endure [1, 9.165062780680048e-06]
enemy [2, 1.8330125561360096e-05]
energetic [1, 9.165062780680048e-06]
energion [1, 9.165062780680048e-06]
energy [15, 0.00013747594171020073]
enforcement [3, 2.7495188342040142e-05]
eng [1, 9.165062780680048e-06]
engage [8, 7.332050224544038e-05]
engine [80, 0.0007332050224544038]
engineer [12, 0.00010998075336816057]
engineering [2, 1.8330125561360096e-05]
engines [3, 2.7495188342040142e-05]
england [9, 8.248556502612044e-05]
english [7, 6.415543946476033e-05]
enhance [4, 3.666025112272019e-05]
enhancement [1, 9.165062780680048e-06]
enjoy [49, 0.00044908807625332234]
enjoying [1, 9.165062780680048e-06]
enjoyment [1, 9.165062780680048e-06]
enormous [2, 1.8330125561360096e-05]
enormously [1, 9.165062780680048e-06]
enough [44, 0.0004032627623499221]
enourage [1, 9.165062780680048e-06]
enquiry [1, 9.165062780680048e-06]
enrich [1, 9.165062780680048e-06]
enroll [3, 2.7495188342040142e-05]
ensure [7, 6.415543946476033e-05]
enter [67, 0.0006140592063055632]
enteredinto [1, 9.165062780680048e-06]
enterprise [33, 0.0003024470717624416]
enterprises [1, 9.165062780680048e-06]
enterprize [9, 8.248556502612044e-05]
enters [2, 1.8330125561360096e-05]
entertain [4, 3.666025112272019e-05]
entertainment [17, 0.0001558060672715608]
enthusiasm [1, 9.165062780680048e-06]
entire [40, 0.0003666025112272019]
entirely [4, 3.666025112272019e-05]
entitle [4, 3.666025112272019e-05]
entitled [1, 9.165062780680048e-06]
entrant [3, 2.7495188342040142e-05]
entrepreneur [14, 0.00012831087892952066]
entrepreneurs [1, 9.165062780680048e-06]
entry [6, 5.4990376684080284e-05]
env [3, 2.7495188342040142e-05]
envelope [77, 0.0007057098341123637]
environment [1, 9.165062780680048e-06]
envst [1, 9.165062780680048e-06]
envy [3, 2.7495188342040142e-05]
eohbg [1, 9.165062780680048e-06]
ep [4, 3.666025112272019e-05]
epac [1, 9.165062780680048e-06]
epidemic [2, 1.8330125561360096e-05]
episode [2, 1.8330125561360096e-05]
equal [7, 6.415543946476033e-05]
equipment [9, 8.248556502612044e-05]
equitable [1, 9.165062780680048e-06]
equity [5, 4.582531390340024e-05]
equitybuilder [1, 9.165062780680048e-06]
equivalent [6, 5.4990376684080284e-05]
erase [2, 1.8330125561360096e-05]
erform [1, 9.165062780680048e-06]
ergetic [1, 9.165062780680048e-06]
eric [2, 1.8330125561360096e-05]
erickson [12, 0.00010998075336816057]
ernie [2, 1.8330125561360096e-05]
ernst [1, 9.165062780680048e-06]
erotic [5, 4.582531390340024e-05]
erri [5, 4.582531390340024e-05]
error [31, 0.00028411694620108146]
errorclick [1, 9.165062780680048e-06]
escapade [1, 9.165062780680048e-06]
escape [4, 3.666025112272019e-05]
escort [1, 9.165062780680048e-06]
escrow [1, 9.165062780680048e-06]
esident [1, 9.165062780680048e-06]
eslptlksmoehdfcqsdawfpeykovjzczlsukjjyzfsuieosfcqnuunepjaxapmysunaaqgck [1, 9.165062780680048e-06]
esmtp [1, 9.165062780680048e-06]
esoteric [1, 9.165062780680048e-06]
especially [25, 0.0002291265695170012]
espin [1, 9.165062780680048e-06]
espionage [1, 9.165062780680048e-06]
espouse [3, 2.7495188342040142e-05]
esq [10, 9.165062780680047e-05]
essay [1, 9.165062780680048e-06]
essential [10, 9.165062780680047e-05]
est [9, 8.248556502612044e-05]
establish [19, 0.0001741361928329209]
establishment [1, 9.165062780680048e-06]
estate [25, 0.0002291265695170012]
este [1, 9.165062780680048e-06]
estimate [4, 3.666025112272019e-05]
estus [1, 9.165062780680048e-06]
et [2, 1.8330125561360096e-05]
etc [104, 0.000953166529190725]
ethic [2, 1.8330125561360096e-05]
ethical [1, 9.165062780680048e-06]
ethically [1, 9.165062780680048e-06]
ettiquete [2, 1.8330125561360096e-05]
euclid [1, 9.165062780680048e-06]
eudora [4, 3.666025112272019e-05]
eugene [2, 1.8330125561360096e-05]
eule [1, 9.165062780680048e-06]
eureka [2, 1.8330125561360096e-05]
euro [4, 3.666025112272019e-05]
europe [12, 0.00010998075336816057]
european [2, 1.8330125561360096e-05]
eurovision [1, 9.165062780680048e-06]
ev [1, 9.165062780680048e-06]
evaluate [5, 4.582531390340024e-05]
evaluated [1, 9.165062780680048e-06]
evaluating [15, 0.00013747594171020073]
evaluation [6, 5.4990376684080284e-05]
evander [1, 9.165062780680048e-06]
evanston [4, 3.666025112272019e-05]
evansville [4, 3.666025112272019e-05]
eve [1, 9.165062780680048e-06]
even [231, 0.002117129502337091]
evening [2, 1.8330125561360096e-05]
event [17, 0.0001558060672715608]
eventually [11, 0.00010081569058748053]
ever [146, 0.0013380991659792869]
everal [1, 9.165062780680048e-06]
everett [1, 9.165062780680048e-06]
evergrow [9, 8.248556502612044e-05]
every [286, 0.0026212079552744936]
everybody [8, 7.332050224544038e-05]
everyday [22, 0.00020163138117496106]
everyone [114, 0.0010448171569975254]
everythe [16, 0.00014664100449088077]
everything [71, 0.0006507194574282834]
everytime [2, 1.8330125561360096e-05]
everywhere [2, 1.8330125561360096e-05]
evidence [1, 9.165062780680048e-06]
evolutionary [1, 9.165062780680048e-06]
ew [1, 9.165062780680048e-06]
ewan [2, 1.8330125561360096e-05]
ex [3, 2.7495188342040142e-05]
exact [18, 0.00016497113005224087]
exactly [78, 0.0007148748968930437]
examine [3, 2.7495188342040142e-05]
examiner [1, 9.165062780680048e-06]
example [56, 0.0005132435157180826]
examples [1, 9.165062780680048e-06]
exceed [8, 7.332050224544038e-05]
exceedingly [10, 9.165062780680047e-05]
excellant [1, 9.165062780680048e-06]
excellent [32, 0.00029328200898176153]
except [24, 0.00021996150673632113]
exception [3, 2.7495188342040142e-05]
exceptional [5, 4.582531390340024e-05]
exceptions [3, 2.7495188342040142e-05]
excerpt [9, 8.248556502612044e-05]
excess [25, 0.0002291265695170012]
exchange [29, 0.0002657868206397214]
exchanged [2, 1.8330125561360096e-05]
excite [53, 0.00048574832737604255]
excited [1, 9.165062780680048e-06]
excitement [3, 2.7495188342040142e-05]
exclude [8, 7.332050224544038e-05]
exclusive [28, 0.0002566217578590413]
exclusively [2, 1.8330125561360096e-05]
excuse [3, 2.7495188342040142e-05]
exe [2, 1.8330125561360096e-05]
exec [2, 1.8330125561360096e-05]
execute [1, 9.165062780680048e-06]
executive [13, 0.00011914581614884062]
executiveguild [1, 9.165062780680048e-06]
exercise [4, 3.666025112272019e-05]
exercising [1, 9.165062780680048e-06]
exes [1, 9.165062780680048e-06]
exhibition [2, 1.8330125561360096e-05]
exist [25, 0.0002291265695170012]
existence [6, 5.4990376684080284e-05]
exotic [4, 3.666025112272019e-05]
exp [9, 8.248556502612044e-05]
expand [6, 5.4990376684080284e-05]
expansion [1, 9.165062780680048e-06]
expect [27, 0.0002474566950783613]
expense [15, 0.00013747594171020073]
expenses [1, 9.165062780680048e-06]
expensive [19, 0.0001741361928329209]
experian [1, 9.165062780680048e-06]
experiance [2, 1.8330125561360096e-05]
experience [93, 0.0008523508386032444]
experienced [1, 9.165062780680048e-06]
experiment [2, 1.8330125561360096e-05]
expert [4, 3.666025112272019e-05]
expertise [3, 2.7495188342040142e-05]
experts [1, 9.165062780680048e-06]
expiration [21, 0.000192466318394281]
expire [1, 9.165062780680048e-06]
expirence [1, 9.165062780680048e-06]
explain [22, 0.00020163138117496106]
explanation [1, 9.165062780680048e-06]
explicit [4, 3.666025112272019e-05]
explode [8, 7.332050224544038e-05]
explodes [1, 9.165062780680048e-06]
explore [2, 1.8330125561360096e-05]
explorer [4, 3.666025112272019e-05]
explosion [4, 3.666025112272019e-05]
explosive [8, 7.332050224544038e-05]
export [3, 2.7495188342040142e-05]
expose [11, 0.00010081569058748053]
exposive [2, 1.8330125561360096e-05]
exposure [6, 5.4990376684080284e-05]
express [54, 0.0004949133901567226]
expressly [1, 9.165062780680048e-06]
exrended [1, 9.165062780680048e-06]
ext [17, 0.0001558060672715608]
extend [3, 2.7495188342040142e-05]
extended [1, 9.165062780680048e-06]
extension [9, 8.248556502612044e-05]
extensive [10, 9.165062780680047e-05]
extensively [1, 9.165062780680048e-06]
extent [1, 9.165062780680048e-06]
extortion [1, 9.165062780680048e-06]
extra [64, 0.0005865640179635231]
extract [21, 0.000192466318394281]
extraction [1, 9.165062780680048e-06]
extractor [14, 0.00012831087892952066]
extractorinfo [1, 9.165062780680048e-06]
extraordinary [10, 9.165062780680047e-05]
extravaganza [4, 3.666025112272019e-05]
extreme [5, 4.582531390340024e-05]
extremely [26, 0.00023829163229768124]
extremist [6, 5.4990376684080284e-05]
eyal [1, 9.165062780680048e-06]
eye [25, 0.0002291265695170012]
eyeonmedicine [3, 2.7495188342040142e-05]
eyes [2, 1.8330125561360096e-05]
ez [22, 0.00020163138117496106]
ezine [2, 1.8330125561360096e-05]
ezineinfo [1, 9.165062780680048e-06]
ezmail [1, 9.165062780680048e-06]
ezvarfaco [1, 9.165062780680048e-06]
f [32, 0.00029328200898176153]
fa [2, 1.8330125561360096e-05]
fab [1, 9.165062780680048e-06]
fabulous [17, 0.0001558060672715608]
fabulously [1, 9.165062780680048e-06]
face [12, 0.00010998075336816057]
faceto [1, 9.165062780680048e-06]
facilitate [5, 4.582531390340024e-05]
facility [5, 4.582531390340024e-05]
fact [59, 0.0005407387040601228]
factor [3, 2.7495188342040142e-05]
factors [1, 9.165062780680048e-06]
factual [1, 9.165062780680048e-06]
facus [1, 9.165062780680048e-06]
fad [1, 9.165062780680048e-06]
fail [8, 7.332050224544038e-05]
failed [1, 9.165062780680048e-06]
failure [13, 0.00011914581614884062]
fair [1, 9.165062780680048e-06]
fairchild [10, 9.165062780680047e-05]
fairfield [2, 1.8330125561360096e-05]
fairly [2, 1.8330125561360096e-05]
faith [14, 0.00012831087892952066]
fake [1, 9.165062780680048e-06]
fall [15, 0.00013747594171020073]
false [1, 9.165062780680048e-06]
falsification [1, 9.165062780680048e-06]
fame [1, 9.165062780680048e-06]
familiar [8, 7.332050224544038e-05]
family [93, 0.0008523508386032444]
famin [1, 9.165062780680048e-06]
famous [5, 4.582531390340024e-05]
fan [5, 4.582531390340024e-05]
fancy [2, 1.8330125561360096e-05]
fanny [1, 9.165062780680048e-06]
fantastic [30, 0.00027495188342040145]
fantasy [9, 8.248556502612044e-05]
fantasyrecordlabel [1, 9.165062780680048e-06]
fapenet [1, 9.165062780680048e-06]
faq [3, 2.7495188342040142e-05]
far [25, 0.0002291265695170012]
farmington [1, 9.165062780680048e-06]
faschetus [1, 9.165062780680048e-06]
fascinate [1, 9.165062780680048e-06]
fast [41, 0.00037576757400788197]
faster [26, 0.00023829163229768124]
fastermail [1, 9.165062780680048e-06]
fastest [12, 0.00010998075336816057]
fastfacts [1, 9.165062780680048e-06]
fasttrac [2, 1.8330125561360096e-05]
fat [13, 0.00011914581614884062]
fatal [1, 9.165062780680048e-06]
fate [1, 9.165062780680048e-06]
father [7, 6.415543946476033e-05]
fatigue [1, 9.165062780680048e-06]
fatloss [3, 2.7495188342040142e-05]
fatprone [1, 9.165062780680048e-06]
fatty [1, 9.165062780680048e-06]
fault [1, 9.165062780680048e-06]
faulty [1, 9.165062780680048e-06]
fave [1, 9.165062780680048e-06]
favor [3, 2.7495188342040142e-05]
favorable [1, 9.165062780680048e-06]
favorite [14, 0.00012831087892952066]
favourable [1, 9.165062780680048e-06]
favourite [27, 0.0002474566950783613]
fax [232, 0.002126294565117771]
fbi [4, 3.666025112272019e-05]
fc [1, 9.165062780680048e-06]
fcwevmdbeokqnincgav [1, 9.165062780680048e-06]
fda [1, 9.165062780680048e-06]
fear [4, 3.666025112272019e-05]
feasibility [1, 9.165062780680048e-06]
feature [40, 0.0003666025112272019]
featureladen [1, 9.165062780680048e-06]
feb [1, 9.165062780680048e-06]
february [4, 3.666025112272019e-05]
federal [38, 0.0003482723856658418]
federally [1, 9.165062780680048e-06]
fedex [8, 7.332050224544038e-05]
fee [63, 0.000577398955182843]
feed [5, 4.582531390340024e-05]
feel [45, 0.0004124278251306021]
feeling [10, 9.165062780680047e-05]
fees [4, 3.666025112272019e-05]
fellow [16, 0.00014664100449088077]
felton [1, 9.165062780680048e-06]
female [9, 8.248556502612044e-05]
fend [1, 9.165062780680048e-06]
fer [1, 9.165062780680048e-06]
fernandez [1, 9.165062780680048e-06]
ferrer [1, 9.165062780680048e-06]
ferret [1, 9.165062780680048e-06]
fess [1, 9.165062780680048e-06]
festival [11, 0.00010081569058748053]
festive [4, 3.666025112272019e-05]
fetish [6, 5.4990376684080284e-05]
few [127, 0.001163962973146366]
fewer [2, 1.8330125561360096e-05]
ff [1, 9.165062780680048e-06]
ffa [183, 0.0016772064888644488]
ffe [7, 6.415543946476033e-05]
fha [2, 1.8330125561360096e-05]
fiance [2, 1.8330125561360096e-05]
fiber [2, 1.8330125561360096e-05]
fiberbase [1, 9.165062780680048e-06]
fiction [2, 1.8330125561360096e-05]
fictitious [1, 9.165062780680048e-06]
fide [3, 2.7495188342040142e-05]
fiecare [1, 9.165062780680048e-06]
field [39, 0.00035743744844652183]
fieldco [1, 9.165062780680048e-06]
fields [1, 9.165062780680048e-06]
fierce [3, 2.7495188342040142e-05]
fiery [2, 1.8330125561360096e-05]
fifteen [2, 1.8330125561360096e-05]
fifth [2, 1.8330125561360096e-05]
fifty [1, 9.165062780680048e-06]
fight [11, 0.00010081569058748053]
figurative [6, 5.4990376684080284e-05]
figure [61, 0.0005590688296214829]
figures [1, 9.165062780680048e-06]
file [181, 0.0016588763633030887]
filer [2, 1.8330125561360096e-05]
files [2, 1.8330125561360096e-05]
filing [1, 9.165062780680048e-06]
fill [69, 0.0006323893318669233]
filled [11, 0.00010081569058748053]
filler [1, 9.165062780680048e-06]
filling [1, 9.165062780680048e-06]
film [10, 9.165062780680047e-05]
filter [40, 0.0003666025112272019]
filthy [2, 1.8330125561360096e-05]
finacially [1, 9.165062780680048e-06]
final [15, 0.00013747594171020073]
finalisation [1, 9.165062780680048e-06]
finally [49, 0.00044908807625332234]
finance [18, 0.00016497113005224087]
finances [2, 1.8330125561360096e-05]
financial [165, 0.0015122353588122078]
financially [32, 0.00029328200898176153]
financing [1, 9.165062780680048e-06]
finder [3, 2.7495188342040142e-05]
finding [5, 4.582531390340024e-05]
fine [10, 9.165062780680047e-05]
fined [1, 9.165062780680048e-06]
finequot [1, 9.165062780680048e-06]
finest [6, 5.4990376684080284e-05]
finger [11, 0.00010081569058748053]
fingertip [6, 5.4990376684080284e-05]
finish [13, 0.00011914581614884062]
fire [7, 6.415543946476033e-05]
fireball [1, 9.165062780680048e-06]
firehouse [1, 9.165062780680048e-06]
firey [2, 1.8330125561360096e-05]
firm [15, 0.00013747594171020073]
firmly [1, 9.165062780680048e-06]
first [251, 0.002300430757950692]
firsthand [1, 9.165062780680048e-06]
fischk [1, 9.165062780680048e-06]
fish [1, 9.165062780680048e-06]
fisher [2, 1.8330125561360096e-05]
fist [3, 2.7495188342040142e-05]
fit [8, 7.332050224544038e-05]
fitness [1, 9.165062780680048e-06]
five [23, 0.0002107964439556411]
fivesome [1, 9.165062780680048e-06]
fix [8, 7.332050224544038e-05]
fixed [1, 9.165062780680048e-06]
fizzy [1, 9.165062780680048e-06]
fl [16, 0.00014664100449088077]
flag [1, 9.165062780680048e-06]
flame [10, 9.165062780680047e-05]
flameproof [1, 9.165062780680048e-06]
flamer [11, 0.00010081569058748053]
flash [4, 3.666025112272019e-05]
flat [1, 9.165062780680048e-06]
flavor [2, 1.8330125561360096e-05]
flavour [5, 4.582531390340024e-05]
flaw [10, 9.165062780680047e-05]
flawlessly [2, 1.8330125561360096e-05]
flea [1, 9.165062780680048e-06]
flexibility [6, 5.4990376684080284e-05]
flexible [1, 9.165062780680048e-06]
flick [1, 9.165062780680048e-06]
flight [2, 1.8330125561360096e-05]
flip [1, 9.165062780680048e-06]
float [7, 6.415543946476033e-05]
flock [1, 9.165062780680048e-06]
flongs [2, 1.8330125561360096e-05]
flood [1, 9.165062780680048e-06]
floodgate [101, 0.0009256713408486848]
floor [3, 2.7495188342040142e-05]
floppy [7, 6.415543946476033e-05]
flora [1, 9.165062780680048e-06]
florida [24, 0.00021996150673632113]
florist [1, 9.165062780680048e-06]
flow [6, 5.4990376684080284e-05]
flower [6, 5.4990376684080284e-05]
fluctuate [4, 3.666025112272019e-05]
flutter [1, 9.165062780680048e-06]
fly [2, 1.8330125561360096e-05]
flyer [2, 1.8330125561360096e-05]
fm [16, 0.00014664100449088077]
fo [1, 9.165062780680048e-06]
foam [1, 9.165062780680048e-06]
focus [5, 4.582531390340024e-05]
fold [8, 7.332050224544038e-05]
folder [4, 3.666025112272019e-05]
folife [1, 9.165062780680048e-06]
folks [3, 2.7495188342040142e-05]
follow [333, 0.0030519659059664557]
following [1, 9.165062780680048e-06]
followup [5, 4.582531390340024e-05]
font [6, 5.4990376684080284e-05]
fontfamily [1, 9.165062780680048e-06]
fontsize [1, 9.165062780680048e-06]
foo [1, 9.165062780680048e-06]
food [9, 8.248556502612044e-05]
fool [5, 4.582531390340024e-05]
fooled [2, 1.8330125561360096e-05]
foolproof [2, 1.8330125561360096e-05]
foot [12, 0.00010998075336816057]
footbal [1, 9.165062780680048e-06]
football [3, 2.7495188342040142e-05]
foothill [1, 9.165062780680048e-06]
forbidden [1, 9.165062780680048e-06]
force [12, 0.00010998075336816057]
ford [5, 4.582531390340024e-05]
forefront [1, 9.165062780680048e-06]
forego [1, 9.165062780680048e-06]
foreign [8, 7.332050224544038e-05]
foremost [1, 9.165062780680048e-06]
foreplay [1, 9.165062780680048e-06]
forest [1, 9.165062780680048e-06]
forever [32, 0.00029328200898176153]
foreverweb [6, 5.4990376684080284e-05]
forfree [1, 9.165062780680048e-06]
forge [9, 8.248556502612044e-05]
forget [34, 0.0003116121345431216]
forgetfulness [1, 9.165062780680048e-06]
forgive [5, 4.582531390340024e-05]
forintroduce [1, 9.165062780680048e-06]
form [162, 0.0014847401704701677]
formal [1, 9.165062780680048e-06]
format [34, 0.0003116121345431216]
formats [2, 1.8330125561360096e-05]
former [4, 3.666025112272019e-05]
formula [5, 4.582531390340024e-05]
formulate [1, 9.165062780680048e-06]
formulum [1, 9.165062780680048e-06]
fort [4, 3.666025112272019e-05]
forth [2, 1.8330125561360096e-05]
forthcome [5, 4.582531390340024e-05]
forthnet [1, 9.165062780680048e-06]
fortitude [1, 9.165062780680048e-06]
fortunate [1, 9.165062780680048e-06]
fortunately [8, 7.332050224544038e-05]
fortune [37, 0.00033910732288516175]
fortunecity [2, 1.8330125561360096e-05]
forty [1, 9.165062780680048e-06]
forum [21, 0.000192466318394281]
forward [18, 0.00016497113005224087]
forwardlook [3, 2.7495188342040142e-05]
foryou [1, 9.165062780680048e-06]
foryourneeds [1, 9.165062780680048e-06]
foster [1, 9.165062780680048e-06]
fostralia [1, 9.165062780680048e-06]
found [16, 0.00014664100449088077]
foundation [5, 4.582531390340024e-05]
founder [2, 1.8330125561360096e-05]
fountain [1, 9.165062780680048e-06]
four [132, 0.0012097882870497664]
foursome [1, 9.165062780680048e-06]
fourth [8, 7.332050224544038e-05]
fox [5, 4.582531390340024e-05]
foxatastic [1, 9.165062780680048e-06]
foxinteractive [1, 9.165062780680048e-06]
foxy [2, 1.8330125561360096e-05]
foyer [1, 9.165062780680048e-06]
fpc [1, 9.165062780680048e-06]
fr [2, 1.8330125561360096e-05]
fraction [11, 0.00010081569058748053]
fragment [1, 9.165062780680048e-06]
frame [3, 2.7495188342040142e-05]
framingham [1, 9.165062780680048e-06]
fran [1, 9.165062780680048e-06]
franchise [4, 3.666025112272019e-05]
francine [1, 9.165062780680048e-06]
francisco [7, 6.415543946476033e-05]
franco [1, 9.165062780680048e-06]
frank [20, 0.00018330125561360095]
frankly [3, 2.7495188342040142e-05]
fraternity [1, 9.165062780680048e-06]
fraud [1, 9.165062780680048e-06]
fraudulent [1, 9.165062780680048e-06]
fre [1, 9.165062780680048e-06]
freak [1, 9.165062780680048e-06]
frederick [3, 2.7495188342040142e-05]
free [744, 0.006818806708825956]
freead [3, 2.7495188342040142e-05]
freedom [56, 0.0005132435157180826]
freefree [1, 9.165062780680048e-06]
freehosting [1, 9.165062780680048e-06]
freelance [1, 9.165062780680048e-06]
freely [3, 2.7495188342040142e-05]
freemall [1, 9.165062780680048e-06]
freepost [1, 9.165062780680048e-06]
freeware [1, 9.165062780680048e-06]
freeway [1, 9.165062780680048e-06]
freewebsite [2, 1.8330125561360096e-05]
freeweek [1, 9.165062780680048e-06]
freeyellow [6, 5.4990376684080284e-05]
freind [2, 1.8330125561360096e-05]
fremont [1, 9.165062780680048e-06]
french [1, 9.165062780680048e-06]
frenzy [2, 1.8330125561360096e-05]
frequency [1, 9.165062780680048e-06]
frequent [4, 3.666025112272019e-05]
frequently [7, 6.415543946476033e-05]
fresh [53, 0.00048574832737604255]
freshest [9, 8.248556502612044e-05]
freshly [1, 9.165062780680048e-06]
friday [12, 0.00010998075336816057]
